ID,SKU,Description,Manufacturer,MPN,Designator,Qty
29,312030662,SMD Mic OMNI -41dB;SMD-7P-L3.5*W2.65*H0.98mm,TDK,MMICT5838-00-012,"MIC1,MIC2",2
30,310051453,SMD IC Logic;DSBGA-12,TI,TXS0104EYZTR,U4,1
31,310033052,"SMD IC PMIC;DCDC Buck-600mA,Vin 1.8V to 5.5V,Vout 1.8V to 3.6V;DSBGA-6",TI,TPS628438YKAR,U13,1
32,310031638,SMD IC LOW RON LOAD SWITCH;5.5V-2A;4-DSBGA,TI,TPS22916CYFPR,"U6,U11",2
33,310032402,SMD PMIC;BQ25101;1.60mm*0.90mm;DSBGA-6,TI,BQ25101YFPR,U15,1
34,301010885,SMD RES 5.1K-1%-1/20W;0201,YAGEO,RC0201FR-075K1L,R41,1
35,301012912,SMD RES 499K-1%-1/20W;0201,Yageo,RC0201FR-07499KL,R10,1
36,301013740,SMD RES 330R-1%-1/20W;0201,YAGEO,RC0201FR-07330RL,R24,1
37,301010753,SMD RES 2.2K-1%-1/20W;0201,YAGEO,RC0201FR-072K2L,"R1,R3,R19,R31,R33",5
38,301013554,SMD RES 249K-1%-1/20W;0201,YAGEO,RC0201FR-07249KL,"R18,R20",2
39,301011319,SMD RES 200K-1%-1/20W;0201,YAGEO,RC0201FR-07200KL,"R42,R43,R44",3
40,301012633,SMD RES 1MR-1%-1/20W;0201,Yageo,RC0201FR-071ML,R9,1
41,301010523,SMD RES 1K-±1%-1/20W;0201,YAGEO,RC0201FR-071KL,"R8,R29",2
42,301010526,SMD RES 10K-±1%-1/20W;0201,YAGEO,RC0201FR-0710KL,"R2,R4,R5,R6,R11,R12,R26,R27,R32,R38,R39,R40",12
43,301010765,SMD RES 100K-±1%-1/20W;0201,YAGEO,RC0201FR-07100KL,"R7,R14,R15,R16,R17,R23,R30",7
44,301010525,SMD RES 0R-±1%-1/20W;0201,YAGEO,RC0201FR-070RL,"R25,R34,R35,R36,R45,R46,R48",7
45,302010519,SMD CAP Ceramic 10uF-10V-20%-X5R;0402,YAGEO,CC0402MRX5R6BB106,C47,1
46,302010407,SMD CAP Ceramic 4.7uF-10V-10%-X5R;0402,YAGEO,CC0402KRX5R6BB475,C46,1
47,302010431,SMD CAP Ceramic 10nF-16V-10%-X7R;0201,YAGEO,CC0201KRX7R7BB103,C24,1
48,302010426,SMD CAP 2.2nF-10V-10%-X7R;0201,YAGEO,CC0201KRX7R6BB222,C6,1
49,302012841,SMD CAP Ceramic;220nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB224,C30,1
50,302010271,SMD CAP Ceramic 100nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB104,"C4,C8,C9,C10,C11,C14,C16,C26,C34,C35,C36,C39,C40,C48,C51,C52,C54",17
51,302012521,SMD CAP Ceramic;470nF-6.3V;0201,YAGEO,CC0201KRX5R5BB474,"C19,C33",2
52,302010420,SMD CAP Ceramic 100pF-50V-5%-NP0;0201,YAGEO,CC0201JRNPO9BN101,C45,1
53,302013030,SMD CAP Ceramic 0.7pF-50V-0.1pF-NPO;0201,YAGEO,CC0201BRNPO9BNR70,C12,1
54,310100689,SMD IC Analog; SPDT RF Switch;DFN-6(0.7x1.1),FUMAN,FM8625H,U10,1
55,304092128,SMD LED RGB;4P-L0.69*W0.69*H0.48mm,MEIHUA,MHPA0606RGBDT,"D2,D7",2
56,311021801,SMD Top Button 163gf:4P-2.6*1.6*0.53mm,"JINBEILI 金倍利
",TS-1001S,K2,1
57,320991624,SMD PogoPin WH1.5mm;1.4*1.4*2.0mm,JINLANTIAN,CA02-PG07,"PP1,PP2,PP3,PP4,PP5,PP6",6
58,114993689,omi2 Charger,,,,1
59,322101051,"Omi2-Charger Foot Pads; ,D22.4*H1.5mm",,,,1
60,202004256,PCBA;Omi2 Charger Board,,,,1
61,319016304,PCB;Omi2 Charger Board v1.0,,,,1
62,310031584,SMD IC PWR MGR EFUSE;6.5V-2.8A-6SON,TI,TPS25200DRVR,U1,1
63,304050312,SMD Diode ESD 5.5V-6V-12pF-30KV-30KV;X1SON(2),TI,TPD1E10B06DPYR,D3,1
64,301010642,SMD RES;280K-1%-1/16W-0402,YAGEO,RC0402FR-07280KL,"R1,R2",2
65,302010235,SMD CAP Ceramic 22uF-25V-20%-X5R;0805,YAGEO,CC0805MKX5R8BB226,C2,1
66,302010024,SMD CAP Ceramic 100nF-25V-10%-X7R;0402,YAGEO,CC0402KRX7R8BB104,C1,1
67,320991566,SMD Pogo Pin WH3.3mm;2.3*2.3*4MM,JINLANTIAN ,CA62-PG308,"PP1,PP2",2
68,202004257,PCBA;Omi2 FPC Board,,,,1
69,323040920,"Omi2-Charging contact ring,D9.9*H1.0mm",,,J1,1
70,319016329,PCB;Omi2 FPC v1.1,,,,1
71,320210763,SMD BTB Male CONN;6+4P-0.25;L2.51*W1.4*H0.41mm,Suntech,ST-BTB-K3570606M,J3,1
72,203001260,Omi2-Machanical Parts,,,,1
73,323050581,"Omi2-Front Cover;aluminium,D25.5*H5.5mm (custom)",,,,1
74,322991494,Dust filter;5.8*4.0*0.1mm,,,,2
75,327160930,double-sided tape;D4*d1.5*H0.1mm,,,,2
76,326020842,Screw;Phillips flat-head screws;CM1.2*5,,,,3
77,323020666,N52 magnet;D3*H3mm,,,,4
78,322081192,"Omi2-light pipe;PC,D6*H1.9mm (custom)",,,,1
79,401040192,S300 glue;20g/pcs,,,,1
80,327160931,double-sided tape;14*12.5*0.1mm,,,,1
81,323050582,"Omi2-Back Cover;aluminium,D25.5*H5.5mm (custom)",,,,1
82,322081191,"Omi2-Middle Frame;PC+ABS,D23.2*H6.35mm (custom)",,,,1
83,401040231,UV glue-DDY6203_6,,,,1
84,313020340,Lithium polymer Battery 3.7V- 150mAh;线长6mm-D16*H6.1mm-32AWG (custom),GERUIPU,GRP1654M1-1C-1S1P-3.7V-150mAh,,1
85,316040251,Vibration Motor 3V-85mA-10000rpm;D5.0*H2.5mm (custom),LIDEWEI,LBM0525A4123F,,1
86,328060165,"Omi Necklace Rope;2.5mm,L650mm (custom)",,,,1
87,322101050,"Omi2-Protection Cover;,28.7*35.5*11mm (custom, molded) ",,,,1
